%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-75.08	6.5	3160	NaN	548	NaN	58.98	-375.33	-47.92	8.54
-75.17	6.5	3160	NaN	557	-46.1	51.95	NaN	-46.35	NaN
-75.25	6.5	3160	NaN	566	-45.8	40.96	-367.55	-46.76	6.54
-75.17	5	3100	NaN	558	-45.5	51.76	NaN	-45.08	NaN
-75.08	2.5	2970	NaN	555	-45	71.35	NaN	-45.29	NaN
-74.95	-1.49	2840	NaN	490	NaN	50.05	NaN	-44.06	NaN
-75	-4.5	2740	NaN	429	-42.3	48.97	NaN	-42.48	NaN
-75	-6.5	2680	NaN	393	-40.2	65.03	-335.21	-42.56	5.47
-75	0.07	2882	NaN	531	NaN	NaN	NaN	-44.28	NaN
-75.01	0.08	2882	NaN	531	NaN	NaN	-346.53	-43.96	4.95
-72.8	159.1	2316	NaN	246	-41	8.7	-292.3	-37.15	4.83
-72.37	158.75	2246	NaN	235	-38.1	10.1	NaN	-35.98	NaN
-85.25	166.17	2700	NaN	788	NaN	NaN	NaN	-42.54	NaN
-86	-105	2580	NaN	1143	NaN	NaN	-342.07	NaN	NaN
-70.59	-60.93	NaN	NaN	10	NaN	42	NaN	-19.48	NaN
-70.67	-64.87	2002	NaN	155	-21	NaN	NaN	-24.64	NaN
-75.92	-84.25	1054	NaN	331	NaN	NaN	NaN	-29.26	NaN
-84	43	3330	NaN	1374	NaN	4	NaN	-52.56	NaN
-58.63	-62.13	700	NaN	156	-7.3	55	-72.2	-9.7	5.6
-58.61	-62.13	700	NaN	156	-7.3	55	-82.9	-10.9	4.35
-58.26	-64.22	1603	NaN	668	-15	49	-148.9	-19.2	4.7
-62.2	-58.95	NaN	NaN	151	NaN	NaN	-77.6	-10.54	6.7
-68.59	113.33	1627	NaN	244	-27.2	39.1	NaN	-28.68	NaN
-68.8	114.41	1727	NaN	246	-28	29	NaN	-29.71	NaN
-69	115.5	1828	NaN	243	-29.4	27.7	NaN	-30.65	NaN
-69.01	116.75	1828	NaN	229	-29.1	26	NaN	-29.26	NaN
-69.02	117.99	1834	NaN	227	-28.9	37.4	NaN	-30.26	NaN
-69	119.28	1884	NaN	234	-28.9	33.6	NaN	-30.26	NaN
-69.01	120.55	1974	NaN	241	-29.7	30.2	NaN	-32.46	NaN
-69.01	121.81	2042	NaN	250	-30.5	25.2	NaN	-28.78	NaN
-69.01	123.06	2135	NaN	254	-31.5	20.6	NaN	-32.09	NaN
-69	124.35	2206	NaN	261	-32.4	18.5	NaN	-31.35	NaN
-68.98	125.64	2204	NaN	254	-32.77	25.6	NaN	-32.5	NaN
-68.99	126.94	2167	NaN	232	-32.7	31.1	NaN	-31.35	NaN
-68.99	128.23	2135	NaN	222	-32.5	34.4	NaN	-29.81	NaN
-69.02	129.51	2105	NaN	226	-32.8	34	NaN	-32.15	NaN
-69.01	130.81	2155	NaN	239	-33.3	35.7	NaN	-33.2	NaN
-68.16	113.26	1280	NaN	201	-21.8	NaN	NaN	-25.74	NaN
-68.33	114.38	1432	NaN	206	-23.9	NaN	NaN	-26.29	NaN
-68.41	112.21	1607	NaN	213	-26.8	42.8	NaN	-26.5	NaN
-69.35	111.86	2119	NaN	299	-33.8	31.9	NaN	-32.5	NaN
-70.16	111.84	2434	NaN	383	-37.7	18.8	NaN	-35.7	NaN
-70.44	111.74	2525	NaN	412	-39	17.6	NaN	-36.4	NaN
-70.76	111.57	2621	NaN	444	-41.8	17.2	NaN	-38.9	NaN
-71.17	111.37	2696	NaN	488	-43.4	12.2	NaN	-38.6	NaN
-71.6	111.25	2759	NaN	534	-44.7	11.4	NaN	-40.6	NaN
-72.04	110.92	2811	NaN	581	-46.7	8.9	NaN	-43.3	NaN
-73.7	110.2	3046	NaN	762	-52.2	6.5	NaN	-46.6	NaN
-68.5	110.85	1784	NaN	197	-28.9	42.6	NaN	-28.45	NaN
-68.48	109.66	1884	NaN	182	-29.7	32.3	NaN	-30.44	NaN
-68.5	104.68	2300	NaN	241	-34.9	34.2	NaN	-35.44	NaN
-68.5	103.42	2256	NaN	263	-33.9	12.9	NaN	-35.91	NaN
-68.49	102.18	2119	NaN	289	-31.3	15.4	NaN	-35.13	NaN
-68.51	100.93	2025	NaN	303	-31.6	19.8	NaN	-35.55	NaN
-68.52	99.69	1980	NaN	297	-31.8	42.5	NaN	-30.84	NaN
-68.51	98.44	2050	NaN	264	-34	59.8	NaN	-33.18	NaN
-68.49	97.19	2322	NaN	238	-31.9	57.2	NaN	-33.32	NaN
-68.5	95.95	2259	NaN	219	-32.6	7	NaN	-32.22	NaN
-70.83	77.08	1850	NaN	146	NaN	NaN	NaN	-33.12	NaN
-69.43	76.34	500	NaN	26	NaN	NaN	NaN	-20.49	NaN
-71.91	77.99	2345	NaN	270	NaN	NaN	NaN	-39.31	NaN
-70.83	77.08	1850	NaN	146	NaN	NaN	NaN	-33.39	NaN
-70.26	76.68	1387	NaN	81	NaN	NaN	NaN	-29.04	NaN
-69.92	76.49	1038	NaN	45	NaN	NaN	NaN	-26.74	NaN
NaN	NaN	NaN	NaN	NaN	-10.9	NaN	NaN	-20.1	NaN
NaN	NaN	64	NaN	NaN	-20.1	NaN	NaN	-19	NaN
NaN	NaN	2760	NaN	NaN	-39	NaN	NaN	-40.67	NaN
NaN	NaN	2979	NaN	NaN	-47.5	NaN	NaN	-43.23	NaN
NaN	NaN	2963	NaN	NaN	-52.9	NaN	NaN	-44.16	NaN
NaN	NaN	3240	NaN	NaN	-50.3	NaN	NaN	-50.3	NaN
NaN	NaN	10	NaN	NaN	-12.4	NaN	NaN	-19	NaN
NaN	NaN	2740	NaN	NaN	-37.4	NaN	NaN	-37.7	NaN
NaN	NaN	3250	NaN	NaN	-47.4	NaN	NaN	-42.8	NaN
NaN	NaN	3500	NaN	NaN	-53.9	NaN	NaN	-47.8	NaN
NaN	NaN	3490	NaN	NaN	-57.3	NaN	NaN	-53.5	NaN
NaN	NaN	3730	NaN	NaN	-57.7	NaN	NaN	-50.3	NaN
NaN	NaN	283	NaN	NaN	-10.1	NaN	NaN	-16.7	NaN
NaN	NaN	360	NaN	NaN	-12.4	NaN	NaN	-17.6	NaN
NaN	NaN	620	NaN	NaN	-14.3	NaN	NaN	-18.9	NaN
NaN	NaN	780	NaN	NaN	-15.7	NaN	NaN	-19.7	NaN
NaN	NaN	930	NaN	NaN	-19	NaN	NaN	-20.8	NaN
NaN	NaN	1390	NaN	NaN	-21.3	NaN	NaN	-22.8	NaN
NaN	NaN	379	NaN	NaN	-11	NaN	NaN	-17.1	NaN
NaN	NaN	40	NaN	NaN	-11.2	NaN	NaN	-16.9	NaN
NaN	NaN	460	NaN	NaN	-16.3	NaN	NaN	-20	NaN
NaN	NaN	975	NaN	NaN	-19.8	NaN	NaN	-22	NaN
NaN	NaN	1410	NaN	NaN	-24	NaN	NaN	-26	NaN
NaN	NaN	1850	NaN	NaN	-28.8	NaN	NaN	-30.5	NaN
NaN	NaN	2220	NaN	NaN	-34.3	NaN	NaN	-32.5	NaN
NaN	NaN	2290	NaN	NaN	-37.9	NaN	NaN	-34.5	NaN
NaN	NaN	2430	NaN	NaN	-42.1	NaN	NaN	-39	NaN
NaN	NaN	2810	NaN	NaN	-46.5	NaN	NaN	-42.5	NaN
NaN	NaN	2990	NaN	NaN	-46.5	NaN	NaN	-47.7	NaN
NaN	NaN	3010	NaN	NaN	-53.5	NaN	NaN	-47.9	NaN
NaN	NaN	220	NaN	NaN	-14.5	NaN	NaN	-19.7	NaN
NaN	NaN	230	NaN	NaN	-15.6	NaN	NaN	-20	NaN
NaN	NaN	405	NaN	NaN	-16.1	NaN	NaN	-20.2	NaN
NaN	NaN	470	NaN	NaN	-17.8	NaN	NaN	-19.5	NaN
NaN	NaN	680	NaN	NaN	-19.3	NaN	NaN	-19.7	NaN
NaN	NaN	790	NaN	NaN	-19.8	NaN	NaN	-19.3	NaN
NaN	NaN	985	NaN	NaN	-22	NaN	NaN	-22.1	NaN
NaN	NaN	1210	NaN	NaN	-24.2	NaN	NaN	-21.8	NaN
NaN	NaN	1480	NaN	NaN	-26.9	NaN	NaN	-25.8	NaN
NaN	NaN	1530	NaN	NaN	-27.4	NaN	NaN	-28.2	NaN
NaN	NaN	1610	NaN	NaN	-28.3	NaN	NaN	-27	NaN
NaN	NaN	1670	NaN	NaN	-28.9	NaN	NaN	-26.7	NaN
NaN	NaN	1830	NaN	NaN	-30.4	NaN	NaN	-29.1	NaN
NaN	NaN	2510	NaN	NaN	-43.9	NaN	NaN	-41.3	NaN
NaN	NaN	2280	NaN	NaN	-43.6	NaN	NaN	-44.8	NaN
NaN	NaN	2440	NaN	NaN	-45	NaN	NaN	-44.6	NaN
NaN	NaN	2480	NaN	NaN	-47.3	NaN	NaN	-45.7	NaN
NaN	NaN	2590	NaN	NaN	-47.1	NaN	NaN	-47.3	NaN
NaN	NaN	2540	NaN	NaN	-46.9	NaN	NaN	-48.5	NaN
NaN	NaN	2515	NaN	NaN	-46.5	NaN	NaN	-43.3	NaN
NaN	NaN	2500	NaN	NaN	-44	NaN	NaN	-40.5	NaN
NaN	NaN	2470	NaN	NaN	-44.2	NaN	NaN	-42.5	NaN
NaN	NaN	2360	NaN	NaN	-44.3	NaN	NaN	-39.8	NaN
NaN	NaN	2290	NaN	NaN	-42.3	NaN	NaN	-38.2	NaN
NaN	NaN	2220	NaN	NaN	-41.5	NaN	NaN	-35.7	NaN
NaN	NaN	NaN	NaN	NaN	-4.1	NaN	NaN	-9.5	NaN
NaN	NaN	NaN	NaN	NaN	-18	NaN	NaN	-30	NaN
NaN	NaN	2800	NaN	NaN	-50.7	NaN	NaN	-51	NaN
NaN	NaN	43	NaN	NaN	-24.2	NaN	NaN	-19.7	NaN
NaN	NaN	452	NaN	NaN	NaN	NaN	NaN	-26.6	NaN
NaN	NaN	1700	NaN	NaN	-29.5	NaN	NaN	-36.5	NaN
NaN	NaN	2200	NaN	NaN	-33.3	NaN	NaN	-38.9	NaN
NaN	NaN	1800	NaN	NaN	-33.4	NaN	NaN	-41	NaN
NaN	NaN	950	NaN	NaN	-27.3	NaN	NaN	-35.2	NaN
NaN	NaN	500	NaN	NaN	-27.7	NaN	NaN	-33.5	NaN
NaN	NaN	150	NaN	NaN	-29.4	NaN	NaN	-34.8	NaN
NaN	NaN	1150	NaN	NaN	-32.6	NaN	NaN	-35.8	NaN
NaN	NaN	1525	NaN	NaN	-28.2	NaN	NaN	-35.8	NaN
NaN	NaN	1530	NaN	NaN	-28.2	NaN	NaN	-32.6	NaN
NaN	NaN	NaN	NaN	NaN	-3.8	NaN	NaN	-9.5	NaN
NaN	NaN	1806	NaN	NaN	-14.8	NaN	NaN	-17.13	NaN
NaN	NaN	1937	NaN	NaN	-15.9	NaN	NaN	-10.08	NaN
NaN	NaN	1750	NaN	NaN	-16.5	NaN	NaN	-18.7	NaN
NaN	NaN	377	NaN	NaN	-7.7	NaN	NaN	-14.92	NaN
NaN	NaN	380	NaN	NaN	-8.1	NaN	NaN	-15.25	NaN
NaN	NaN	290	NaN	NaN	-14.9	NaN	NaN	-17.9	NaN
NaN	NaN	870	NaN	NaN	-12.9	NaN	NaN	-16.8	NaN
NaN	NaN	2131	NaN	NaN	-21	NaN	NaN	-27.13	NaN
NaN	NaN	396	NaN	NaN	-17.5	NaN	NaN	-19.61	NaN
NaN	NaN	1050	NaN	NaN	-16.6	NaN	NaN	-25.94	NaN
NaN	NaN	1752	NaN	NaN	-22.1	NaN	NaN	-26.68	NaN
NaN	NaN	1987	NaN	NaN	-21.4	NaN	NaN	-26.48	NaN
NaN	NaN	2010	NaN	NaN	-23.7	NaN	NaN	-25.43	NaN
NaN	NaN	290	NaN	NaN	-8.4	NaN	NaN	-13.19	NaN
NaN	NaN	1547	NaN	NaN	-20	NaN	NaN	-23.9	NaN
NaN	NaN	946	NaN	NaN	-13.1	NaN	NaN	-18	NaN
NaN	NaN	595	NaN	NaN	-12.1	NaN	NaN	-12.6	NaN
NaN	NaN	1886	NaN	NaN	-20.4	NaN	NaN	-24.72	NaN
NaN	NaN	488	NaN	NaN	-13.3	NaN	NaN	-16.55	NaN
NaN	NaN	1797	NaN	NaN	-21.8	NaN	NaN	-25.4	NaN
NaN	NaN	539	NaN	NaN	-13.3	NaN	NaN	-16.69	NaN
NaN	NaN	2007	NaN	NaN	-23.8	NaN	NaN	-27.84	NaN
NaN	NaN	130	NaN	NaN	-17.6	NaN	NaN	-21.42	NaN
NaN	NaN	1835	NaN	NaN	-20.2	NaN	NaN	-25.77	NaN
NaN	NaN	20	NaN	NaN	-22.3	NaN	NaN	-26.6	NaN
-77.6	162.89	NaN	NaN	28	NaN	-77.76	-223.8	-28.8	6.9
-77.73	162.21	NaN	NaN	41	NaN	-77	-236.8	-27.9	-13.6
-77.73	162.19	NaN	NaN	41	NaN	NaN	-250.3	-30.8	-3.7
-77.73	162.16	NaN	NaN	42	NaN	NaN	-240	-29.8	-1.9
-77.73	162.12	NaN	NaN	43	NaN	NaN	-236.9	-29.5	-1.2
-77.74	162.13	NaN	NaN	42	NaN	NaN	-241.7	-30.1	-0.9
-77.75	162.13	NaN	NaN	42	NaN	NaN	-246.8	-30.7	-1
-77.61	162.93	NaN	NaN	27	NaN	NaN	-214.7	-26	-7
-77.61	162.94	NaN	NaN	26	NaN	NaN	-222.5	-26.8	-8.3
-77.61	162.97	NaN	NaN	26	NaN	NaN	-218.1	-26.9	-2.7
-77.63	163	NaN	NaN	24	NaN	NaN	-213.5	-25.4	-10.1
-77.63	162.95	NaN	NaN	25	NaN	NaN	-220.2	-27.9	2.9
-77.63	162.95	NaN	NaN	25	NaN	NaN	-215.9	-27.6	4.6
-77.63	162.96	NaN	NaN	25	NaN	NaN	-222.1	-28.2	3.3
-77.63	162.96	NaN	NaN	25	NaN	NaN	-223.9	-28.6	5.1
-77.63	162.98	NaN	NaN	25	NaN	NaN	-209.1	-26.1	-0.5
-77.62	163	NaN	NaN	25	NaN	NaN	-218.3	-27.3	0.3
-77.61	162.96	NaN	NaN	26	NaN	NaN	-224.3	-28.4	2.6
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-226.3	-28.4	1
-77.6	162.89	NaN	NaN	28	NaN	NaN	-216.1	-26.5	-4.4
-77.61	162.95	NaN	NaN	26	NaN	NaN	-252.1	-31.7	1.3
-77.6	162.86	NaN	NaN	28	NaN	NaN	-219.1	-26.8	-4.8
-77.6	162.86	NaN	NaN	28	NaN	NaN	-210.3	-25.5	-6.4
-77.61	162.83	NaN	NaN	29	NaN	NaN	-208.4	-24.1	-15.4
-77.61	162.82	NaN	NaN	29	NaN	NaN	-238.8	-29.5	-2.5
-77.6	162.84	NaN	NaN	29	NaN	NaN	-216.7	-26.1	-7.6
-77.61	162.95	NaN	NaN	26	NaN	NaN	-256.6	-33.5	11.2
-77.61	162.99	NaN	NaN	25	NaN	NaN	-234.2	-29.2	-0.9
-77.63	162.93	NaN	NaN	26	NaN	NaN	-265.5	-33.3	1.1
-77.56	163.25	NaN	NaN	24	NaN	NaN	-222.6	NaN	NaN
-77.56	163.25	NaN	NaN	24	NaN	NaN	-202	NaN	NaN
-77.56	163.25	NaN	NaN	24	NaN	NaN	-187	NaN	NaN
-77.56	163.25	NaN	NaN	24	NaN	NaN	-191.2	NaN	NaN
-77.55	163.04	NaN	NaN	29	NaN	NaN	-288.5	-35.8	-2.5
-77.55	163.04	NaN	NaN	29	NaN	NaN	-173.6	-22.1	3
-77.55	163.04	NaN	NaN	29	NaN	NaN	-293.8	-37.1	2.7
-77.54	163.18	NaN	NaN	26	NaN	NaN	-181.5	-22.6	-0.5
-77.54	163.18	NaN	NaN	26	NaN	NaN	-170.7	-21.5	0.9
-77.54	163.18	NaN	NaN	26	NaN	NaN	-166.7	-20.7	-0.9
-77.54	163.18	NaN	NaN	26	NaN	NaN	-162.3	-20.3	-0.1
-77.54	163.18	NaN	NaN	26	NaN	NaN	-187.6	-23.4	-0.6
-77.54	163.18	NaN	NaN	26	NaN	NaN	-184.4	-22.9	-1.2
-77.54	163.18	NaN	NaN	26	NaN	NaN	-190.5	-23.5	-2.3
-77.69	163.09	NaN	NaN	20	NaN	NaN	-303.4	-38.1	1.3
-77.69	163.09	NaN	NaN	20	NaN	NaN	-326.8	-40.8	-0.1
-77.69	163.09	NaN	NaN	20	NaN	NaN	-219.3	-27.2	-1.5
-77.69	163.09	NaN	NaN	20	NaN	NaN	-197	-23.9	-5.8
-77.69	163.09	NaN	NaN	20	NaN	NaN	-235.6	-29.2	-2.4
-77.69	163.09	NaN	NaN	20	NaN	NaN	-186.8	-24.2	6.9
-77.69	163.09	NaN	NaN	20	NaN	NaN	-262	-32.5	-2.2
-77.69	163.09	NaN	NaN	20	NaN	NaN	-211.3	-26.4	0
-77.69	163.09	NaN	NaN	20	NaN	NaN	-219.6	-27.1	-2.5
-77.69	163.09	NaN	NaN	20	NaN	NaN	-271.2	NaN	NaN
-77.69	163.09	NaN	NaN	20	NaN	NaN	-235.7	NaN	NaN
-77.69	163.09	NaN	NaN	20	NaN	NaN	-241.8	NaN	NaN
-77.55	163	NaN	NaN	29	NaN	NaN	-200.2	NaN	NaN
-77.55	163	NaN	NaN	29	NaN	NaN	-226.4	NaN	NaN
-77.55	163	NaN	NaN	29	NaN	NaN	-183.6	NaN	NaN
-77.55	163	NaN	NaN	29	NaN	NaN	-188.8	NaN	NaN
-77.55	163	NaN	NaN	29	NaN	NaN	-210.8	NaN	NaN
-77.54	163.05	NaN	NaN	29	NaN	NaN	-137	NaN	NaN
-77.54	163.05	NaN	NaN	29	NaN	NaN	-223.8	NaN	NaN
-77.54	163.05	NaN	NaN	29	NaN	NaN	-199.7	NaN	NaN
-77.54	163.05	NaN	NaN	29	NaN	NaN	-194.9	NaN	NaN
-77.56	163.05	NaN	NaN	27	NaN	NaN	-219	NaN	NaN
-77.56	163.05	NaN	NaN	27	NaN	NaN	-218.1	NaN	NaN
-77.56	163.05	NaN	NaN	27	NaN	NaN	-216.6	NaN	NaN
-77.56	163.05	NaN	NaN	27	NaN	NaN	-255.4	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-135.8	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-209.9	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-179.4	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-179	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-172.3	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-169.8	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-199.5	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-240.9	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-141.7	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-223.9	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-244	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-217.5	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-243.7	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-260	NaN	NaN
-77.53	163.22	NaN	NaN	27	NaN	NaN	-210.6	NaN	NaN
-77.7	163.02	NaN	NaN	22	NaN	NaN	-251.1	NaN	NaN
-77.7	163.02	NaN	NaN	22	NaN	NaN	-155.7	NaN	NaN
-77.7	163.02	NaN	NaN	22	NaN	NaN	-224	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-244	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-247.5	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-220.4	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-186.4	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-192.5	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-221.7	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-277.4	NaN	NaN
-77.68	163.09	NaN	NaN	20	NaN	NaN	-211.3	NaN	NaN
-77.55	162.98	NaN	NaN	30	NaN	NaN	-267.9	NaN	NaN
-77.54	163.1	NaN	NaN	28	NaN	NaN	-220.4	NaN	NaN
-77.67	163.08	NaN	NaN	21	NaN	NaN	-226.6	NaN	NaN
-77.67	163.07	NaN	NaN	21	NaN	NaN	-214	NaN	NaN
-77.67	163.09	NaN	NaN	21	NaN	NaN	-241.6	NaN	NaN
-77.66	163.08	NaN	NaN	21	NaN	NaN	-230	NaN	NaN
-77.66	163.08	NaN	NaN	21	NaN	NaN	-229.1	NaN	NaN
-77.66	163.08	NaN	NaN	21	NaN	NaN	-221.3	NaN	NaN
-77.66	163.08	NaN	NaN	21	NaN	NaN	-224.2	NaN	NaN
-77.61	162.95	NaN	NaN	26	NaN	NaN	-244.8	-31.02	3.4
-77.61	162.96	NaN	NaN	26	NaN	NaN	-219.4	-27.31	-0.9
-77.61	162.97	NaN	NaN	26	NaN	NaN	-233.1	-29.06	-0.6
-77.61	162.98	NaN	NaN	26	NaN	NaN	-230	-28.63	-1
-77.61	162.98	NaN	NaN	26	NaN	NaN	-202.8	-25.61	2.1
-77.61	162.93	NaN	NaN	27	NaN	NaN	-231	-28.19	-5.5
-77.61	162.93	NaN	NaN	27	NaN	NaN	-242.9	-30.14	-1.8
-77.61	162.94	NaN	NaN	26	NaN	NaN	-301.9	-37.86	1
-77.56	163.25	NaN	NaN	24	NaN	NaN	-190.6	NaN	NaN
-77.61	162.99	NaN	NaN	25	NaN	NaN	-234.5	-29.64	2.6
-77.61	162.96	NaN	NaN	26	NaN	NaN	-260	-32.85	2.8
-77.61	162.95	NaN	NaN	26	NaN	NaN	-238.9	-30.06	1.6
-77.62	162.94	NaN	NaN	26	NaN	NaN	-251.9	-31.86	3
-77.62	163	NaN	NaN	25	NaN	NaN	-284	-36.07	4.6
-77.62	163.02	NaN	NaN	24	NaN	NaN	-242	-30.85	4.8
-77.62	163.03	NaN	NaN	24	NaN	NaN	-273.3	-34.77	4.9
-77.63	162.96	NaN	NaN	25	NaN	NaN	-258.3	-33.53	9.9
-77.63	162.93	NaN	NaN	26	NaN	NaN	-273.5	NaN	NaN
-77.59	163.27	NaN	NaN	22	NaN	NaN	-219.8	NaN	NaN
-77.57	163.34	NaN	NaN	21	NaN	NaN	-238.7	NaN	NaN
-77.73	162.19	NaN	NaN	41	NaN	NaN	-335.6	NaN	NaN
-77.73	162.15	NaN	NaN	42	NaN	NaN	-325.5	NaN	NaN
-77.73	162.12	NaN	NaN	43	NaN	NaN	-349.7	NaN	NaN
-77.74	162.13	NaN	NaN	42	NaN	NaN	-316.7	NaN	NaN
-77.75	162.13	NaN	NaN	42	NaN	NaN	-308.1	NaN	NaN
-77.75	161.93	NaN	NaN	47	NaN	NaN	-305.9	NaN	NaN
-77.75	161.88	NaN	NaN	48	NaN	NaN	-291.1	NaN	NaN
-77.76	161.84	NaN	NaN	49	NaN	NaN	-311.4	NaN	NaN
-77.73	162.25	NaN	NaN	40	NaN	NaN	-331.1	NaN	NaN
-77.74	162.47	NaN	NaN	35	NaN	NaN	-238.6	NaN	NaN
-77.74	162.46	NaN	NaN	35	NaN	NaN	-235.4	NaN	NaN
-77.65	162.73	NaN	NaN	30	NaN	NaN	-254.6	NaN	NaN
-77.65	162.71	NaN	NaN	30	NaN	NaN	-250.5	NaN	NaN
-77.63	162.9	NaN	NaN	26	NaN	NaN	-228.6	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-272	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-243.9	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-257.3	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-252.9	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-246.2	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-258.2	NaN	NaN
-77.63	162.95	NaN	NaN	25	NaN	NaN	-280.3	-35.4	3
-77.62	162.98	NaN	NaN	25	NaN	NaN	-293.5	-37.3	4.8
-77.63	163.01	NaN	NaN	24	NaN	NaN	-274.3	-34.7	3.1
-77.62	163.03	NaN	NaN	24	NaN	NaN	-251.2	-31.6	1.4
-77.62	163.01	NaN	NaN	24	NaN	NaN	-241.3	-30	-1
-77.57	162.96	NaN	NaN	28	NaN	NaN	-285.4	-36.4	5.5
-77.62	162.93	NaN	NaN	26	NaN	NaN	-272.5	-35	7.2
-77.62	162.94	NaN	NaN	26	NaN	NaN	-220.4	-27.2	-2.4
-77.62	162.96	NaN	NaN	26	NaN	NaN	-261.7	-33.2	4.2
-77.61	162.96	NaN	NaN	26	NaN	NaN	-301.8	-38.3	4.3
-77.61	162.93	NaN	NaN	27	NaN	NaN	-233.5	-29.2	-0.3
-77.61	162.94	NaN	NaN	27	NaN	NaN	-227.5	-28	-3.6
-77.61	162.96	NaN	NaN	26	NaN	NaN	-248.9	-31.4	2
-77.61	162.96	NaN	NaN	26	NaN	NaN	-234.2	-29.7	3.6
-77.61	162.98	NaN	NaN	26	NaN	NaN	-213.3	-26.5	-0.9
-77.62	162.97	NaN	NaN	25	NaN	NaN	-283.3	-36	4.4
-77.62	162.88	NaN	NaN	27	NaN	NaN	-230.7	-28.5	-2.5
-77.62	162.92	NaN	NaN	26	NaN	NaN	-247.2	-31.3	2.8
-77.63	163.01	NaN	NaN	24	NaN	NaN	-263.4	-33.4	4.1
-77.65	162.71	NaN	NaN	30	NaN	NaN	-235.2	-29.6	1.7
-77.65	162.73	NaN	NaN	30	NaN	NaN	-249.3	-31.5	2.6
-77.65	162.71	NaN	NaN	30	NaN	NaN	-261	-33.1	3.8
-77.69	163.05	NaN	NaN	21	NaN	NaN	-225.8	-28	-1.5
-77.67	163.08	NaN	NaN	21	NaN	NaN	-223.7	-28	-0.1
-77.68	163.08	NaN	NaN	21	NaN	NaN	-226.6	-27.8	-4.4
-77.67	163.07	NaN	NaN	21	NaN	NaN	-234.2	-29.2	-0.7
-77.67	163.08	NaN	NaN	21	NaN	NaN	-214.9	-26.6	-1.9
-77.67	163.07	NaN	NaN	21	NaN	NaN	-235.1	-29.2	-1.6
-77.67	163.09	NaN	NaN	21	NaN	NaN	-210.7	-26.1	-2.1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-233.4	-28.5	-5.7
-77.56	163.28	NaN	NaN	23	NaN	NaN	-224.6	-27.7	-3.3
-77.57	163.29	NaN	NaN	23	NaN	NaN	-216.9	-27.9	6
-77.59	163.31	NaN	NaN	21	NaN	NaN	-252	-31.8	2.2
-77.69	164.4	NaN	NaN	12	NaN	NaN	-233.3	-28.4	-5.9
-77.69	163.11	NaN	NaN	20	NaN	NaN	-183	-22.2	-5.5
-77.68	163.11	NaN	NaN	20	NaN	NaN	-223	-27.7	-1.7
-77.68	163.08	NaN	NaN	21	NaN	NaN	-213	-26.4	-1.7
-77.68	163.08	NaN	NaN	21	NaN	NaN	-210	-26.1	-1.4
-77.68	163.08	NaN	NaN	21	NaN	NaN	-211.5	-26.2	-2.2
-77.69	163.05	NaN	NaN	21	NaN	NaN	-200.3	-25.1	0.4
-77.68	163.05	NaN	NaN	21	NaN	NaN	-211	-26.5	1.2
-77.68	163.06	NaN	NaN	21	NaN	NaN	-231.1	-28.8	-1
-77.68	163.07	NaN	NaN	21	NaN	NaN	-199.9	-25	0
-77.57	163.31	NaN	NaN	22	NaN	NaN	-241.3	-30	-1.3
