%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-75.61	137.45	2748	659	675	-48.38	NaN	-400.38	-50.78	5.88
-75.61	137.27	2759	660	680	-48.49	NaN	-394.59	-50.67	10.78
-75.61	136.91	2763	672	689	-48.53	NaN	-398.74	-50.88	8.33
-75.61	136.74	2777	675	694	-48.67	NaN	-361.72	-46	6.26
-75.61	136.19	2787	691	708	-48.77	NaN	-374.1	-47.99	9.79
-75.6	136.01	2789	689	712	-48.79	NaN	-394.77	-50.46	8.9
-75.6	135.83	2792	692	717	-48.82	NaN	-394.36	-50.54	9.97
-75.58	135.35	2808	708	730	-48.98	NaN	-395.89	-50.53	8.36
-75.58	134.81	2823	720	744	-49.13	NaN	-395.76	-50.48	8.09
-75.58	134.63	2823	725	749	-49.13	NaN	-398.69	-50.85	8.14
-75.52	132.48	2905	785	806	-49.95	NaN	-398.59	-50.61	6.3
-75.52	132.12	2920	784	815	-50.1	NaN	-397.84	-50.77	8.35
-75.51	131.59	2943	800	829	-50.33	NaN	-397.05	-50.6	7.76
-75.49	131.05	2968	813	844	-50.58	NaN	-376.72	-47.76	5.4
-75.47	130.52	2995	830	858	-50.85	NaN	-402.19	-50.74	3.77
-75.47	130.34	3001	833	863	-50.91	NaN	-393.37	-50.47	10.39
-75.44	129.58	3043	851	884	-51.33	NaN	-378.92	-48.08	5.7
-75.43	129.4	3053	854	888	-51.43	NaN	-372.81	-47.68	8.66
-75.38	127.99	3129	891	926	-52.19	NaN	-395.71	-50.37	7.29
-75.29	125.71	3193	951	927	-52.83	NaN	-394.43	-50.35	8.39
-75.27	125.19	3202	965	927	-52.92	NaN	-394.86	-50.56	9.61
-68.76	135.67	2344	50	272	-38.5	NaN	-287.47	-36.41	3.81
-68.73	135.31	2350	65	271	-38.5	NaN	-264.41	-33.63	4.63
-68.91	136.71	2338	5	269	-38.5	NaN	-284.49	-35.64	0.63
-68.86	136.37	2349	20	268	-38.5	NaN	-286.97	-36.21	2.71
-69.14	137.18	2376	95	287	-37.95	NaN	-277.36	-35.18	4.08
-69.22	137.42	2404	110	294	-37.6	NaN	-282.99	-35.98	4.85
-69.29	138.15	2373	140	296	-37.99	NaN	-278.9	-35.41	4.38
-69.33	138.53	2361	155	299	-38.14	NaN	-296.73	-37.69	4.79
-69.41	139.23	2350	185	308	-38.23	NaN	-281.3	-35.76	4.78
-69.49	139.6	2334	200	306	-38.76	NaN	-289.46	-36.63	3.58
-69.74	140.04	2340	230	312	-38.56	NaN	-293.07	-36.95	2.53
-69.84	140.22	2331	245	315	-38.85	NaN	-298.78	-37.88	4.26
-70.06	140.64	2299	275	324	-39.93	NaN	-293.3	-36.9	1.9
-70.18	140.85	2282	290	329	-40.68	NaN	-325.25	-41.2	4.35
-70.43	141.1	2256	320	348	-41.82	NaN	-301.38	-37.91	1.9
-70.56	141.19	2248	335	360	-42.17	NaN	-292.86	-37.28	5.38
-70.81	141.35	2247	365	379	-42.21	NaN	-298.25	-37.94	5.27
-70.93	141.51	2247	380	384	-42.32	NaN	-306.28	-38.9	4.92
-71.15	141.99	2169	410	390	-41.67	NaN	-312.16	-40.07	8.4
-71.25	142.25	2176	425	394	-41.73	NaN	-308.82	-39.34	5.9
-71.39	142.96	2164	455	392	-41.63	NaN	-336.07	-42.84	6.65
-71.44	143.31	2155	470	390	-41.81	NaN	-319.18	-40.52	4.98
