%Latitude	Longitude	Elevation (m)	WMO Station #	Weighted Annual d2H (‰)	Weighted Annual d18O (‰)	Weighted Annual d-excess (‰)	Weighted Monthly d2H (‰)	Weighted Monthly d18O (‰)	Weighted Monthly d-excess (‰)
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-44.08	-6.61	10.56
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-34.04	-5.76	12.57
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-27.85	-5.18	16.11
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-36.80	-6.10	12.92
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-19.70	-4.23	16.35
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-3.62	-0.88	5.89
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	4.59	-0.70	8.30
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	18.41	1.07	7.88
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-37.97	-6.64	15.60
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-19.83	-4.22	13.91
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-36.28	-5.76	9.79
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-45.26	-7.06	11.24
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-62.50	-8.96	9.18
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-87.70	-12.08	8.94
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-24.60	-4.45	11.00
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-11.00	-2.83	11.64
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-7.76	-2.46	11.90
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-14.10	-3.07	10.44
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-11.93	-2.81	10.56
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-38.57	-5.82	7.98
-0.20	-78.38	850.00	8408801	-34.06	-5.65	11.15	-14.94	-3.39	12.15
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-12.70	-3.82	17.82
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-26.60	-5.05	13.80
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-83.10	-11.68	10.34
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-108.70	-14.77	9.46
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-75.90	-11.17	13.46
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-38.45	-6.80	15.91
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-13.35	-4.28	20.89
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-26.75	-5.71	18.89
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-17.40	-4.58	19.24
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-28.45	-5.86	18.39
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-57.65	-8.70	11.91
-2.23	-78.28	1726.00	8423901	-44.70	-7.35	14.10	-31.35	-5.97	16.37
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-135.80	-18.93	14.77
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-133.31	-18.14	12.36
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-129.07	-17.89	17.54
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-123.46	-16.87	15.07
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-101.67	-14.87	18.88
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-71.21	-12.85	9.70
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-67.34	-12.13	13.63
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-71.02	-11.72	17.74
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-89.97	-12.77	7.43
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-91.07	-15.24	16.53
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-139.80	-17.34	11.43
69.46	61.41	53.00	2302200	-106.07	-15.64	13.69	-143.30	-19.71	15.34
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-33.24	-7.41	26.04
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-23.33	-5.29	18.96
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-32.20	-7.12	24.73
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-35.80	-6.12	13.16
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	10.30	-0.27	12.46
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-999.99	-999.99	-999.99
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-999.99	-999.99	-999.99
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-999.99	-999.99	-999.99
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-999.99	-999.99	-999.99
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-12.70	-3.74	17.22
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-7.87	-4.15	25.35
31.98	35.93	850.00	4027000	-27.83	-6.59	24.89	-24.62	-6.46	27.04
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-13.85	-3.04	10.45
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-28.04	-4.99	11.87
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-20.51	-3.40	6.68
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-25.94	-4.47	9.83
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-17.53	-3.22	8.25
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-21.11	-3.28	5.10
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-3.63	-1.33	6.98
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-26.31	-3.69	3.20
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-14.60	-2.71	7.05
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-18.63	-3.32	7.95
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-22.63	-3.96	9.05
38.40	-27.13	74.00	851301	-23.92	-4.04	8.40	-38.20	-6.07	10.39
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-81.01	-11.59	13.47
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-75.85	-11.33	13.04
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-68.59	-9.76	10.91
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-50.58	-7.84	10.82
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-42.97	-6.66	9.06
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-35.20	-5.44	9.02
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-28.49	-4.43	8.12
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-28.30	-4.35	7.02
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-31.02	-5.55	9.16
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-50.31	-7.79	11.56
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-60.59	-9.03	12.17
39.95	32.88	902.00	1713000	-56.12	-8.34	10.98	-74.17	-10.55	13.17
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-31.58	-6.12	18.63
