%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
34.2	124.03	-13.4173	-85.128	88	18.3842	17.4
34.18	124.03	-13.9032	-88.6028	88	18.3317	17.2
34.16	124.02	-13.899	-90.8187	88	18.2931	17.2
34.13	124.02	-13.9974	-93.8403	88	18.2983	17.2
34.11	124.02	-14.2926	-94.8475	89	18.3841	17.2
34.08	124.01	-14.5879	-95.8547	89	18.4479	17.1
34.05	124.01	-14.7826	-97.8187	89	18.453	17.1
34.03	124	-14.881	-98.8259	89	18.4942	17.1
34.01	123.6	-14.881	-99.8331	89	18.5667	17.1
34.01	123.59	-14.7826	-100.8403	89	18.6073	17.3
34.01	123.58	-14.7847	-100.8907	88	18.6287	17.3
34.01	123.58	-14.6863	-101.8979	88	18.6499	17.4
34.02	123.57	-14.4895	-101.8979	88	18.6664	17.5
34.02	123.57	-14.3911	-101.8979	87	18.6761	17.5
34.03	123.55	-14.1942	-101.8979	84	18.6732	17.8
34.03	123.55	-14.1942	-100.8907	84	18.6594	17.8
34.01	123.55	-14.0979	-100.941	84	18.6376	17.7
33.6	123.56	-14.0979	-100.941	84	18.6318	17.8
33.58	123.57	-14.2926	-100.8907	83	18.6355	17.8
33.56	123.59	-14.2926	-100.8907	83	18.6569	17.7
33.55	124	-14.1921	-100.8403	84	18.7187	17.8
33.52	124.02	-14.1942	-100.8907	84	18.7397	17.8
33.5	124.03	-14.0979	-100.941	84	18.7381	17.8
33.48	124.04	-14.1963	-100.941	85	18.7345	17.7
33.45	124.05	-14.2968	-101.9986	85	18.733	17.9
33.43	124.05	-14.1691	-102.0825	84	18.7438	18.1
33.4	124.06	NaN	NaN	85	18.7562	18.1
33.37	124.07	NaN	NaN	85	18.8526	18.2
33.36	124.08	NaN	NaN	85	18.9449	18.3
33.33	124.1	NaN	NaN	85	18.9665	18.4
33.32	124.12	-13.5116	-102.0489	85	19.0426	18.3
33.3	124.12	-13.4152	-101.0921	86	19.0789	18.2
33.27	124.12	-13.4173	-101.1425	86	19.0858	18.3
33.24	124.12	-13.4152	-101.0921	86	19.1038	18.4
33.22	124.13	-13.2225	-101.1928	86	19.1215	18.5
33.19	124.14	-13.1241	-101.1928	86	19.0946	18.6
33.16	124.15	-13.2204	-101.1425	86	19.288	18.8
33.15	124.16	-13.1282	-101.2935	86	19.8159	18.9
33.12	124.18	-13.2266	-100.2863	86	19.7363	18.9
33.1	124.2	-13.323	-100.236	86	19.581	18.7
33.08	124.22	-13.2286	-100.3367	85	19.4843	18.8
33.07	124.23	-13.4214	-100.236	85	19.4715	18.9
33.05	124.25	-13.6162	-101.1928	84	19.4827	18.9
33.02	124.27	-13.6141	-101.1425	83	19.5751	19.2
32.6	124.27	-13.5178	-101.1928	83	19.7008	19.3
32.57	124.27	-13.5198	-101.2432	82	19.8584	19.5
32.55	124.27	-13.5178	-101.1928	82	19.9437	19.4
32.52	124.27	-13.5178	-102.2	82	19.9466	19.5
32.49	124.27	-13.4193	-102.2	82	19.9242	19.4
32.47	124.27	-13.3209	-102.2	83	19.9556	19.4
32.44	124.27	-13.2245	-101.2432	83	20.0027	19.4
32.42	124.27	-13.2266	-101.2935	83	19.9845	19.4
32.39	124.27	-13.1282	-101.2935	83	19.95	19.4
32.36	124.27	-13.0318	-101.3439	83	20.0032	19.5
32.34	124.27	-13.2266	-101.2935	83	20.0274	19.5
32.31	124.26	-13.1302	-101.3439	83	20.1676	19.6
32.29	124.26	-13.1302	-101.3439	82	20.302	19.8
32.26	124.26	-13.1302	-100.3367	81	20.318	19.9
32.24	124.26	-13.1302	-100.3367	81	20.318	19.9
32.21	124.26	-13.2266	-100.2863	81	20.2987	20
32.18	124.26	-13.1282	-101.2935	81	20.2737	20
32.16	124.27	-13.0318	-100.3367	81	20.3581	20.1
32.14	124.27	-12.9354	-100.3871	80	20.5179	20.3
32.11	124.27	-12.841	-99.4806	81	20.6344	20.4
32.09	124.27	-12.7405	-99.4302	80	20.7056	19.9
32.07	124.27	-13.1302	-99.3295	82	20.7775	19.8
32.04	124.28	-13.1362	-99.4806	83	20.8688	19.9
32.01	124.28	-13.0418	-99.5813	82	20.964	20.3
31.6	124.29	-12.9512	-98.7755	83	21.0064	20.2
31.58	124.3	-12.8567	-98.8763	82	21.0397	20.3
31.55	124.31	-12.7583	-97.8691	82	21.0604	20.5
31.53	124.33	-12.4688	-98.0201	82	21.034	20.4
31.48	124.35	-12.4707	-97.0633	83	21.0132	20.5
31.46	124.36	-12.2738	-97.0633	83	21.1165	20.5
31.45	124.37	-12.2757	-96.1065	82	21.1761	20.6
31.42	124.38	-11.9861	-95.2503	83	21.1362	20.7
31.4	124.39	-11.9861	-95.2503	83	21.072	20.9
31.38	124.4	-11.793	-94.3439	82	21.0467	21
31.36	124.41	-11.7949	-94.3942	81	21.3555	21.3
