%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
2.47	122.17	-16.9343	-114.2361	70	29.715	27.2
2.46	122.15	-16.9329	-114.1857	68	29.7033	27.4
2.44	122.13	-16.8345	-114.1857	66	29.6685	27.7
2.43	122.11	-16.9285	-114.0346	66	29.7222	27.8
2.41	122.09	-17.0255	-113.9843	65	29.8951	28
2.4	122.07	-16.9256	-114.9411	65	29.8974	27.9
2.38	122.04	-16.9213	-115.7972	67	29.9064	27.8
2.37	122.02	-16.7185	-115.5958	66	29.8977	27.8
2.36	122	-16.4277	-114.7397	64	29.8804	28
2.35	121.58	-16.3322	-114.8404	62	29.8854	28.2
2.33	121.56	-16.3307	-114.79	62	29.9302	28.1
2.32	121.54	-16.6156	-114.4375	63	29.8894	28.1
2.31	121.52	-16.9033	-115.1929	63	29.8135	28
2.28	121.49	-16.7049	-115.1425	64	29.7695	27.9
2.28	121.48	-16.8033	-116.1497	63	29.7309	27.9
2.27	121.46	-16.9002	-116.0994	64	29.651	27.9
2.26	121.44	-16.9002	-117.1066	65	29.5685	27.8
2.24	121.42	-16.9986	-117.1066	65	29.548	27.8
2.23	121.4	-17.097	-117.1066	65	29.5631	27.8
2.22	121.38	-17.1001	-118.2145	66	29.6078	27.8
2.2	121.36	-16.9909	-118.8692	66	29.6531	27.8
2.19	121.34	-16.994	-118.9699	66	29.6518	27.8
2.18	121.32	-17.1814	-121.6893	66	29.6272	27.7
2.17	121.3	-17.2734	-122.4951	66	29.6032	27.7
2.15	121.28	-17.467	-123.4016	66	29.5902	27.7
2.14	121.25	-17.3734	-123.5527	65	29.5975	27.7
2.12	121.22	-17.5589	-124.2073	65	29.5918	27.8
2.12	121.22	-17.8459	-125.9699	65	29.5853	27.8
2.1	121.19	-17.9376	-126.7757	65	29.5752	27.8
2.09	121.18	-17.946	-126.0203	66	29.5685	27.9
2.08	121.16	-17.8476	-126.0203	64	29.5688	27.9
2.06	121.13	-17.9427	-125.9196	65	29.5773	27.9
2.05	121.12	-17.8509	-126.121	64	29.5937	27.9
2.04	121.1	-17.9543	-126.2721	64	29.615	27.9
2.02	121.08	-17.8492	-126.0707	66	29.6399	27.9
2.01	121.05	-17.941	-126.8764	66	29.6688	28
1.6	121.04	-18.0461	-127.0779	66	29.6923	28
1.59	121.02	-17.9232	-127.4472	66	29.6934	28
1.58	120.6	-17.8392	-127.7829	67	29.6669	28
1.56	120.58	-17.8392	-128.7901	66	29.6567	28
1.55	120.56	-17.8459	-127.9843	66	29.6628	28
1.54	120.54	-17.7441	-127.8836	67	29.6676	28
1.53	120.52	-17.8392	-128.7901	66	29.6804	27.9
1.5	120.49	-17.5333	-125.6174	65	29.6951	28
1.5	120.47	-16.7863	-122.0922	66	29.6899	28
1.49	120.46	-15.7214	-113.7325	66	29.6751	28
1.47	120.43	-15.2391	-109.0993	66	29.6433	28
1.46	120.41	-14.9523	-105.4231	66	29.5966	28
1.44	120.39	-14.5645	-101.6461	66	29.5871	28
1.43	120.37	-14.2786	-99.1281	67	29.6137	27.9
1.42	120.35	-15.455	-100.8403	67	29.6284	28
1.41	120.33	-16.5334	-115.9987	67	29.6187	28
1.39	120.31	-16.4335	-116.9555	67	29.6102	27.9
1.38	120.29	-16.2367	-116.9555	66	29.5902	28
1.37	120.27	-16.1368	-116.9051	66	29.5566	28
1.35	120.25	-16.2338	-116.8548	67	29.5263	28
1.34	120.23	-16.4247	-116.6533	67	29.5251	27.9
1.33	120.21	-16.3248	-116.603	67	29.5192	27.9
1.31	120.18	-16.4112	-117.2073	68	29.4972	27.9
1.3	120.16	-16.3081	-118.0634	68	29.4971	27.9
1.29	120.14	-16.3066	-118.0131	68	29.492	27.9
1.28	120.12	-16.3097	-118.1138	68	29.5082	27.9
1.26	120.1	-16.2128	-117.1569	68	29.523	27.8
1.25	120.08	-16.1113	-117.0562	69	29.5324	27.8
1.24	120.06	-16.1128	-117.1066	70	29.5138	27.8
1.22	120.04	-16.0175	-117.2073	70	29.4762	27.7
1.21	120.02	-15.9206	-116.2505	70	29.4511	27.8
1.19	119.59	-15.8222	-116.2505	70	29.4519	27.8
1.18	119.58	-15.8222	-116.2505	70	29.4409	27.8
1.15	119.57	-15.7222	-116.2001	70	29.4297	27.8
1.13	119.55	-15.7268	-115.344	70	29.4499	27.8
1.11	119.53	-15.6299	-115.3943	71	29.4482	27.8
1.09	119.52	-15.6314	-114.4375	71	29.4365	27.8
1.07	119.5	-15.5315	-114.3871	72	29.4322	27.8
1.05	119.49	-15.3376	-114.4879	72	29.4294	27.7
1.03	119.47	-15.2437	-113.6317	72	29.4259	27.8
1.01	119.46	-15.2437	-112.6245	72	29.4125	27.8
0.58	119.44	-15.0483	-112.6749	73	29.411	27.8
0.56	119.43	-15.1438	-112.5742	73	29.3918	27.8
0.53	119.42	-15.0468	-112.6245	73	29.3808	27.8
0.52	119.41	-14.9587	-110.9627	73	29.3743	27.9
0.49	119.4	-14.8603	-109.9555	73	29.357	27.9
0.47	119.39	-14.9572	-110.9123	73	29.3439	27.8
0.45	119.38	-14.8574	-109.8547	73	29.34	27.8
0.43	119.37	-14.8574	-109.8547	74	29.349	27.8
0.41	119.37	-14.7633	-108.9986	75	29.3369	27.7
0.39	119.36	-14.8574	-108.8475	75	29.3184	27.6
0.37	119.35	-14.4752	-108.2432	74	29.3302	27.6
0.36	119.35	-14.3853	-107.5382	74	29.3558	27.6
0.34	119.34	-14.3853	-106.531	74	29.3671	27.7
0.33	119.33	-14.2897	-105.6245	73	29.3845	27.7
0.31	119.33	-14.3909	-105.7252	73	29.4006	27.7
0.3	119.32	-14.395	-104.8691	73	29.4299	27.8
0.28	119.32	-14.2979	-104.9195	72	29.4621	27.9
0.26	119.31	-14.4962	-103.9626	73	29.4945	28
0.24	119.3	-14.492	-104.8187	72	29.5113	28
0.22	119.29	-14.3936	-104.8187	72	29.5296	28.1
0.19	119.28	-14.2036	-104.0633	74	29.5565	28.1
0.18	119.28	-14.2077	-103.2072	74	29.5876	28.1
0.16	119.27	-14.1982	-103.8619	74	29.5973	28.2
0.14	119.26	-14.2741	-105.0705	73	29.5997	28.3
0.12	119.25	-14.2897	-104.6173	73	29.5964	28.4
0.1	119.24	-14.097	-103.7612	74	29.5712	27.7
0.09	119.24	-14.083	-103.2576	79	29.542	27.5
0.07	119.23	-13.9916	-101.495	77	29.5316	27.9
0.05	119.22	-13.8126	-101.1425	77	29.5485	28.1
0.03	119.21	-13.7314	-100.7899	71	29.5647	27.7
0.01	119.2	-13.3364	-100.7396	78	29.5562	26.5
0	119.2	-13.4203	-100.1856	78	29.5485	27.1
-0.02	119.2	-14.1785	-100.1353	76	29.5546	28.3
-0.04	119.19	-14.1159	-99.4302	74	29.5958	28.7
-0.05	119.19	-13.8233	-99.5309	73	29.6535	28.9
-0.07	119.18	-13.532	-99.682	73	29.6966	29
-0.09	119.18	-13.5372	-98.8763	70	29.7155	29.2
-0.12	119.17	-13.3429	-97.9698	69	29.7106	29.3
-0.14	119.16	-13.339	-97.2144	68	29.7031	29.3
-0.16	119.16	-13.1396	-96.6101	65	29.6952	29.5
-0.18	119.15	-13.5307	-96.5093	65	29.6649	29.5
-0.21	119.14	-13.8099	-97.0129	66	29.6295	29.4
-0.23	119.14	-13.609	-96.8619	66	29.6171	29.4
-0.26	119.13	-13.3955	-98.2719	67	29.6097	29.3
-0.29	119.12	-14.1655	-100.6892	67	29.5759	29.3
-0.31	119.12	-14.5457	-103.2576	67	29.5566	29.4
-0.33	119.11	-14.9209	-105.6749	68	29.5704	29.5
-0.36	119.11	-15.1114	-107.4878	67	29.6093	29.6
-0.38	119.1	-15.113	-108.5454	66	29.7162	29.7
-0.41	119.09	-14.7441	-106.3295	65	29.8162	29.8
-0.44	119.08	-14.5473	-105.3223	63	29.9132	30.1
-0.45	119.08	-14.738	-105.1209	63	29.9499	30.1
-0.48	119.07	-14.7334	-105.977	61	29.9683	30
-0.51	119.07	-14.3351	-102.8043	63	29.9729	30
-0.53	119.06	-14.631	-102.6952	64	29.9489	29.8
-0.56	119.05	NaN	NaN	65	29.8829	29.7
-0.58	119.05	NaN	NaN	65	29.822	29.7
-1.01	119.04	NaN	NaN	64	29.8028	29.7
-1.03	119.03	NaN	NaN	65	29.8441	29.6
-1.06	119.02	NaN	NaN	64	29.9628	29.8
-1.08	119.02	NaN	NaN	62	30.0745	29.9
-1.1	119.01	NaN	NaN	62	30.1969	30.1
-1.13	119.01	NaN	NaN	63	30.2244	30.2
-1.15	119	NaN	NaN	62	30.2408	30.2
-1.18	118.59	NaN	NaN	63	30.2999	30.2
-1.2	118.59	NaN	NaN	62	30.3647	30.4
-1.23	118.58	NaN	NaN	62	30.3947	30.4
-1.25	118.58	NaN	NaN	62	30.3788	30.5
-1.28	118.58	NaN	NaN	62	30.3352	30.4
-1.3	118.57	NaN	NaN	62	30.3707	30.4
-1.32	118.56	NaN	NaN	64	30.3595	30.5
-1.34	118.55	NaN	NaN	63	30.3475	30.5
-1.37	118.54	NaN	NaN	62	30.4486	30.5
-1.39	118.54	NaN	NaN	62	30.4699	30.6
-1.43	118.53	NaN	NaN	63	30.4175	30.8
-1.44	118.53	NaN	NaN	61	30.4067	30.6
-1.46	118.52	NaN	NaN	63	30.399	30.4
-1.48	118.52	NaN	NaN	65	30.4117	30.2
-1.51	118.51	-15.6223	-115.1425	65	30.4105	30.2
-1.53	118.5	-15.0386	-118.0131	64	30.3751	30.1
-1.56	118.49	-15.7618	-105.3727	62	30.3714	30.2
-1.58	118.49	-15.234	-103.9626	64	30.4218	30.1
-2	118.48	NaN	NaN	65	30.4779	29.9
-2.03	118.48	NaN	NaN	66	30.449	29.7
-2.05	118.47	-9.7901	-83.869	65	30.5988	29.6
-2.11	118.46	-12.654	-86.6891	65	30.6315	29.5
-2.13	118.45	-11.7389	-80.7467	65	30.6824	29.4
-2.15	118.45	-12.9543	-84.5321	66	30.6888	29.4
-2.18	118.44	NaN	NaN	66	30.5746	29.4
-2.2	118.43	NaN	NaN	69	30.5942	29.3
-2.23	118.42	NaN	NaN	70	30.5827	29.1
-2.25	118.42	-11.9751	-76.5668	71	30.4722	28.9
-2.28	118.41	-10.8925	-76.6675	71	30.4355	28.8
-2.3	118.41	-14.4164	-97.2144	71	30.4373	28.9
-2.33	118.4	-14.1186	-99.5309	71	30.4458	28.8
-2.35	118.39	-14.0188	-99.4806	71	30.4088	28.7
-2.38	118.38	-13.9204	-99.4806	72	30.4319	28.7
-2.42	118.37	-14.0175	-99.4302	71	30.4544	28.6
-2.43	118.37	-14.0188	-99.4806	70	30.2964	28.6
-2.46	118.36	-14.0162	-99.3799	70	30.2233	28.5
-2.49	118.35	-14.1106	-99.2288	71	30.1226	28.4
-2.51	118.35	-14.3061	-99.1784	70	29.9919	28.4
-2.54	118.34	-14.3047	-100.1353	71	29.8715	28.4
-2.57	118.33	-14.4989	-100.0345	70	29.7908	28.4
-2.59	118.32	-14.5973	-100.0345	70	29.73	28.3
-3.02	118.32	-14.5946	-100.941	70	29.6411	28.3
-3.05	118.31	-14.7887	-100.8403	71	29.568	28.2
-3.08	118.3	-14.7873	-101.7971	71	29.4862	28.1
-3.1	118.3	-14.5905	-101.7971	71	29.4035	28
-3.14	118.28	-14.4934	-101.8475	73	29.3247	28
-3.15	118.27	-14.4907	-101.7468	73	29.2162	28
-3.17	118.26	-14.2009	-100.941	73	29.1822	28
-3.2	118.24	-14.1038	-100.9914	72	29.2188	28.1
-3.22	118.23	-14.1065	-100.0849	71	29.3248	28.1
-3.24	118.22	-14.1052	-100.0345	72	29.4648	28.2
-3.27	118.19	-14.1038	-99.9842	72	29.5206	28.1
-3.28	118.19	-14.0081	-100.0849	71	29.5202	28.1
-3.3	118.17	-14.0095	-100.1353	71	29.5693	28.2
-3.33	118.16	-14.1065	-99.0777	71	29.6039	28.2
-3.35	118.15	-14.2023	-99.9842	72	29.626	28.2
-3.37	118.13	-14.1065	-99.0777	69	29.6508	28.3
-3.39	118.12	-14.0108	-99.1784	68	29.6358	28.5
-3.42	118.11	-14.2009	-98.9266	67	29.6422	28.5
-3.44	118.1	-14.4893	-98.6748	68	29.7029	28.5
-3.46	118.08	-14.7804	-99.5309	68	29.7788	28.4
-3.49	118.07	-14.6806	-100.4878	70	29.6917	28.4
-3.51	118.05	-14.7776	-100.4374	72	29.589	28.4
-3.53	118.04	-14.3881	-100.5885	72	29.4894	28.3
-3.56	118.03	-14.097	-100.7396	72	29.4345	28.3
-3.58	118.01	-14.194	-99.682	71	29.4558	28.3
-4	118	-13.9986	-99.7324	71	29.4679	28.4
-4.02	117.59	-13.993	-98.5237	71	29.3992	28.3
-4.05	117.57	-13.7962	-98.5237	72	29.2276	28.3
-4.07	117.56	-13.7976	-98.5741	72	29.1557	28.3
-4.09	117.55	-13.5037	-97.6173	71	29.2286	28.3
-4.11	117.53	-13.4039	-97.5669	70	29.2197	28.4
-4.14	117.52	-13.4039	-96.5597	69	29.3483	28.5
-4.16	117.5	-13.5009	-96.4086	70	29.4556	28.5
-4.18	117.49	-13.4039	-96.2575	73	29.4622	28.5
-4.21	117.48	-12.8216	-95.5525	72	29.4211	28.4
-4.23	117.46	-12.9187	-94.7971	72	29.4275	28.4
-4.25	117.45	-12.7205	-94.2431	72	29.4716	28.4
-4.27	117.44	-12.7219	-93.6892	71	29.5246	28.4
-4.29	117.42	-12.7205	-93.1352	70	29.5832	28.5
-4.32	117.41	-12.6165	-92.4302	70	29.5818	28.5
-4.36	117.39	-12.812	-92.3798	67	29.5206	28.5
-4.39	117.37	-12.9048	-92.3798	69	29.493	28.5
-4.41	117.36	-12.6038	-92.3798	68	29.56	28.5
-4.43	117.35	-12.2116	-91.6244	71	29.6662	28.4
-4.45	117.33	-11.8165	-90.3654	72	29.7129	28.4
-4.47	117.31	-11.4271	-89.0057	72	29.7455	28.4
-4.49	117.3	-11.233	-87.7971	72	29.7253	28.4
-4.52	117.28	-11.1374	-86.5884	73	29.6945	28.4
-4.54	117.27	-10.8505	-85.4805	71	29.6839	28.4
-4.56	117.26	-10.7548	-84.4733	71	29.682	28.4
-4.59	117.24	-10.9517	-83.869	72	29.6532	28.4
-5.01	117.23	-10.7576	-82.6603	71	29.6325	28.5
-5.03	117.22	-10.6659	-82.0057	71	29.61	28.5
-5.05	117.2	-10.6686	-81.3006	71	29.6224	28.7
-5.08	117.19	-10.6659	-80.5956	71	29.6335	28.7
-5.1	117.18	-10.5794	-79.538	69	29.6055	28.9
-5.12	117.16	-10.2995	-77.8258	68	29.5707	29.1
-5.15	117.15	-10.2036	-76.7179	67	29.5504	29.4
-5.17	117.14	-9.8024	-75.4085	67	29.5458	29.4
-5.21	117.12	-9.8917	-75.2574	67	29.5523	29.5
-5.22	117.12	-9.8718	-74.9049	66	29.5481	29.7
-5.24	117.1	-9.8062	-72.4373	65	29.5417	29.8
-5.27	117.09	-9.6004	-71.1783	65	29.5248	29.8
-5.3	117.07	-9.7894	-70.8761	64	29.5344	30
-5.32	117.05	-9.7907	-70.02	64	29.566	30.1
-5.33	117.04	-9.8516	-69.6315	63	29.5998	30.2
-5.36	117.03	NaN	NaN	63	29.6139	30.2
-5.38	117.01	NaN	NaN	62	29.6303	30.4
-5.41	116.6	NaN	NaN	60	29.668	30.6
-5.43	116.59	NaN	NaN	61	29.7147	30.6
-5.45	116.57	-11.6793	-86.9409	62	29.7625	30.7
-5.47	116.56	-11.8959	-84.574	60	29.8159	30.8
-5.5	116.54	-11.912	-81.8042	60	29.8877	30.8
-5.52	116.53	-11.8136	-80.797	58	29.9551	30.9
-5.55	116.52	-11.5255	-79.6387	61	29.9971	30.9
-5.58	116.51	-11.4355	-78.7323	60	30.0308	31
-5.6	116.5	-11.0487	-78.0776	60	30.0705	30.9
-6.02	116.49	-10.8491	-78.0776	60	30.1205	31
-6.05	116.48	-10.8408	-78.1783	57	30.1514	31
-6.07	116.47	-10.9364	-78.5812	58	30.1916	31
-6.1	116.46	-11.0334	-78.4301	58	30.2263	31.1
-6.14	116.43	-11.2274	-78.4301	60	30.2671	31.1
-6.17	116.42	-11.2274	-78.5308	59	30.3015	31.1
-6.2	116.41	-11.039	-78.0272	60	30.3262	31.1
-6.22	116.4	-10.9406	-77.8258	59	30.3711	31
-6.24	116.39	-10.9364	-77.9769	60	30.4264	31.1
-6.27	116.38	-10.935	-78.1279	58	30.4427	31.2
-6.29	116.37	-10.9278	-78.5812	59	30.4517	31.3
-6.31	116.36	-10.8251	-78.4301	58	30.4429	31.3
-6.34	116.35	-10.4485	-80.5452	58	30.4679	31.3
-6.36	116.34	-10.9364	-75.8617	59	30.5187	31.1
-6.39	116.33	-10.8337	-76.315	58	30.5423	31.1
-6.41	116.32	-10.9264	-76.5164	58	30.5521	31.1
-6.43	116.31	-10.828	-76.5164	59	30.5523	31.1
-6.46	116.3	-10.9278	-76.2646	58	30.5636	31.1
-6.48	116.29	-10.8337	-75.9121	62	30.5701	31.1
-6.5	116.28	-10.9321	-75.9121	62	30.5426	30.8
-6.53	116.27	-10.828	-76.1135	62	30.5012	30.8
-6.57	116.26	-10.7324	-76.1135	60	30.4486	30.8
-6.58	116.25	-10.6425	-75.5092	60	30.3625	30.8
-7	116.24	-10.6397	-75.2071	62	30.3983	30.8
-7.03	116.23	-10.6439	-74.7538	60	30.4011	30.8
-7.05	116.22	-10.3543	-74.0488	61	30.3566	30.8
-7.07	116.21	-10.4513	-73.8977	60	30.3305	30.9
-7.1	116.2	-10.3543	-73.6459	59	30.3373	30.9
-7.14	116.19	-10.3501	-73.2934	58	30.3416	30.9
-7.15	116.18	-10.4499	-73.3437	58	30.3319	31
-7.18	116.18	-10.4457	-73.0919	58	30.3311	30.9
-7.2	116.17	-10.3501	-72.8905	57	30.3563	30.9
-7.23	116.16	-10.5427	-72.9409	59	30.3673	31
-7.25	116.15	-10.5413	-72.8905	60	30.3324	30.9
-7.27	116.13	-10.4429	-72.7898	60	30.2985	30.8
-7.3	116.12	-10.3501	-72.5883	59	30.3162	30.8
-7.32	116.11	-10.4386	-73.3437	58	30.3735	30.9
-7.35	116.1	-10.6224	-73.5955	58	30.4033	30.9
-7.37	116.09	-10.9072	-75.1567	58	30.4695	30.8
-7.42	116.07	-10.9057	-75.4085	62	30.5405	30.3
-7.42	116.07	-11.0949	-76.8689	62	30.6515	30.3
-7.44	116.06	-11.1903	-77.574	65	30.7744	30
-7.47	116.05	-11.2856	-79.1855	64	30.8618	29.9
-7.49	116.04	-11.5746	-81.1999	67	30.8154	29.6
-7.52	116.03	-11.5793	-80.8474	66	30.6994	29.2
-7.56	116.01	-11.6746	-81.2503	66	30.5435	29.2
-7.57	116.01	-11.8619	-82.3582	66	30.3716	29.2
-7.59	115.6	-11.9603	-82.4589	68	30.161	29.1
-8.02	115.59	-11.9539	-82.8618	68	30.0317	29.1
-8.04	115.58	-11.949	-84.0201	70	29.939	29
-8.06	115.57	-11.9523	-84.8258	69	29.8639	29.1
-8.09	115.56	-11.9474	-85.2791	66	29.7713	29.2
-9.46	115.32	-13.646	-107.9914	70	28.7989	27.7
-9.47	115.32	-13.4587	-107.236	71	28.7911	27.8
-9.5	115.32	-13.1672	-107.3367	71	28.7343	27.7
-9.53	115.31	-12.8738	-106.3799	69	28.6609	27.7
-9.55	115.31	-12.7772	-105.4231	71	28.6335	27.7
-9.58	115.3	-12.5785	-105.3727	70	28.66	27.7
-10.03	115.3	-12.4782	-105.3223	69	28.7098	27.7
-10.03	115.3	-12.3835	-103.4087	70	28.684	27.7
-10.05	115.29	-12.1904	-103.5094	69	28.6171	27.7
-10.08	115.29	-12.1867	-102.4015	68	28.5725	27.6
-10.1	115.29	-11.9954	-101.5453	67	28.508	27.7
-10.13	115.28	-11.897	-100.5381	67	28.4513	27.7
-10.15	115.28	-11.9936	-100.4878	68	28.4231	27.7
-10.18	115.27	-11.9917	-99.4302	68	28.4399	27.7
-10.2	115.27	-11.988	-99.3295	68	28.5232	27.7
-10.23	115.27	-11.8858	-98.2216	68	28.612	27.6
-10.25	115.26	-11.7817	-98.0705	68	28.6934	27.6
-10.28	115.26	-11.8877	-97.2647	69	28.742	27.6
-10.31	115.25	-11.6964	-96.4086	69	28.7577	27.6
-10.33	115.25	-11.6909	-96.2575	68	28.7631	27.6
-10.35	115.25	-11.7836	-96.1065	69	28.7574	27.6
-10.37	115.24	-11.6852	-96.1065	68	28.7505	27.5
-10.4	115.24	-11.6964	-94.3942	68	28.7555	27.5
-10.42	115.24	-11.5924	-94.2431	69	28.7609	27.5
-10.46	115.23	-11.6909	-93.2359	70	28.7656	27.5
-10.48	115.23	-11.6983	-93.4374	68	28.7445	27.5
-10.51	115.22	-11.7001	-92.0777	68	28.7142	27.5
-10.53	115.22	-11.5033	-91.2719	68	28.6732	27.5
-10.55	115.22	-11.5943	-91.2719	68	28.6477	27.4
-10.58	115.21	-11.5999	-91.3223	68	28.5865	27.4
-11	115.21	-11.4157	-89.4589	68	28.5519	27.5
-11.03	115.21	-10.7729	-83.6675	68	28.5273	27.6
-11.05	115.2	-10.6825	-81.9049	67	28.4943	27.6
-11.08	115.2	-10.4967	-80.0416	67	28.4751	27.8
-11.1	115.19	-10.4967	-78.9337	66	28.467	27.9
-11.13	115.19	-10.3967	-78.6819	65	28.4633	27.9
-11.15	115.19	-10.3983	-77.9265	65	28.4529	27.9
-11.18	115.18	-10.3967	-77.3725	64	28.4444	28.1
-11.21	115.18	-10.303	-76.5164	64	28.4442	28.2
-11.23	115.18	-10.2092	-75.6099	65	28.4368	28.3
-11.25	115.17	NaN	NaN	63	28.4415	28.2
-11.28	115.17	NaN	NaN	62	28.4553	28.4
-11.31	115.16	NaN	NaN	63	28.4639	28.6
-11.33	115.16	NaN	NaN	63	28.4604	28.6
-11.36	115.15	NaN	NaN	62	28.4722	28.7
-11.39	115.15	NaN	NaN	63	28.4862	28.7
-11.41	115.14	-9.2322	-95.3007	63	28.503	28.6
-11.44	115.14	-10.0537	-90.1136	62	28.5163	28.8
-11.48	115.13	-10.9681	-84.3222	62	28.5326	28.8
-11.49	115.13	-11.1778	-81.0992	62	28.5552	28.9
-11.52	115.13	-11.0872	-79.7395	61	28.572	29
-11.54	115.12	-11.1762	-80.6459	60	28.5719	29
-11.57	115.12	-11.7303	-85.1783	63	28.5545	29
-11.6	115.12	-11.7286	-86.0345	62	28.5585	29
-12.03	115.11	-11.5602	-85.7827	62	28.5684	29
-12.05	115.11	-10.8872	-80.7467	63	28.5688	28.9
-12.08	115.1	-10.7825	-79.8402	63	28.5757	28.9
-12.11	115.1	-10.8697	-80.6963	62	28.6004	28.9
-12.14	115.1	-10.8531	-81.0992	63	28.6145	28.8
-12.16	115.09	-11.4402	-84.5237	63	28.6348	28.8
-12.19	115.09	-11.3435	-84.1711	62	28.6554	28.9
-12.22	115.09	-11.3452	-83.9193	61	28.662	28.9
-12.26	115.08	-11.4419	-83.869	61	28.6621	28.9
-12.28	115.08	-11.4436	-83.8186	62	28.6513	28.8
-12.3	115.07	-11.3535	-82.8618	62	28.611	28.8
-12.32	115.07	-11.245	-81.7539	62	28.6044	28.8
-12.35	115.06	-11.3468	-81.4517	63	28.5766	28.8
-12.37	115.06	-11.3468	-82.056	64	28.5706	28.8
-12.4	115.06	-11.4436	-81.7035	64	28.6176	28.9
-12.43	115.05	-11.6488	-81.9553	64	28.6086	28.8
-12.46	115.05	-11.6504	-82.1064	64	28.5435	28.8
-12.48	115.04	-11.6537	-82.1064	65	28.4056	28.9
-12.51	115.04	-11.6554	-82.2575	65	28.2789	28.9
-12.55	115.03	-11.8456	-82.7611	64	28.2003	28.8
-12.56	115.03	-11.939	-83.7179	64	28.0625	28.9
-12.59	115.02	-12.0408	-84.5237	64	27.9509	28.9
-13.02	115.02	-12.0408	-84.9265	64	27.9476	28.8
-13.04	115.01	-12.0375	-85.2287	64	28.1226	28.8
-13.1	115.01	-12.1291	-86.1352	65	28.2537	28.7
-13.12	115	-12.1425	-86.2359	64	28.3531	28.7
-13.15	114.6	-12.1392	-86.3366	64	28.3633	28.7
-13.17	114.59	-12.0375	-86.0345	63	28.2718	28.7
-13.2	114.59	-12.0391	-85.7827	63	28.1234	28.7
-13.22	114.58	-11.9407	-85.3798	61	28.0265	28.7
-13.25	114.58	-11.9374	-85.4805	59	28.0005	28.7
-13.27	114.58	-11.8473	-85.2287	60	27.992	28.7
-13.3	114.57	NaN	NaN	57	27.9487	28.9
-13.33	114.57	NaN	NaN	58	27.939	28.8
-13.35	114.56	NaN	NaN	59	27.9386	28.7
-13.37	114.56	NaN	NaN	59	27.9863	28.7
-13.4	114.55	-8.7413	-81.2503	59	28.1498	28.7
-13.42	114.55	-9.3682	-77.9265	58	28.1698	28.7
-13.45	114.54	-10.3559	-77.1207	60	28.1407	28.7
-13.47	114.54	-11.0397	-77.8761	59	28.1097	28.6
-13.5	114.54	-11.5335	-78.9337	61	28.1749	28.6
-13.53	114.53	-11.7286	-79.1855	61	28.2876	28.6
-13.55	114.53	-11.9254	-80.092	61	28.3351	28.5
-13.58	114.52	-12.1205	-81.0488	63	28.3447	28.4
-14	114.52	-12.0324	-80.8474	63	28.3414	28.3
-14.03	114.52	-12.0375	-80.797	61	28.3231	28.3
-14.05	114.51	-12.0425	-81.1495	60	28.2831	28.3
-14.08	114.51	-12.1409	-81.1495	63	28.2491	28.2
-14.1	114.51	-12.1392	-81.0992	62	28.2673	28.1
-14.13	114.5	-11.6253	-77.4733	62	28.3819	28
-14.16	114.49	-9.9992	-67.5523	63	28.5364	28
-14.18	114.49	-8.896	-59.2429	63	28.7042	28
-14.21	114.49	-9.4138	-58.2861	63	28.8581	27.9
-14.23	114.48	-10.6105	-72.1855	63	28.9688	28
-14.26	114.48	-10.3152	-72.9912	63	29.0488	27.9
-14.28	114.48	-10.3106	-72.7394	63	29.0983	27.9
-14.31	114.48	-10.1138	-72.538	64	29.0955	27.8
-14.33	114.47	-10.1123	-72.2862	65	29.071	27.8
-14.36	114.47	-10.0139	-71.7826	64	29.0459	27.7
-14.39	114.46	-10.0154	-71.6315	64	29.0276	27.7
-14.41	114.46	-10.0154	-71.4301	67	29.0089	27.7
-14.43	114.46	-10.0154	-71.2286	68	28.9995	27.6
-14.46	114.45	-10.0199	-71.279	69	28.9973	27.5
-14.48	114.45	-9.926	-71.1279	69	28.9923	27.4
-14.51	114.44	-10.0289	-70.9768	70	28.979	27.4
-14.53	114.44	-9.932	-70.8257	71	28.9554	27.3
-14.57	114.43	-9.8379	-70.6747	70	28.934	27.3
-14.59	114.43	-9.8423	-70.6243	72	28.9174	27.3
-15.01	114.43	-9.9407	-70.4229	71	28.9186	27.3
-15.03	114.42	-9.9422	-70.4732	71	28.919	27.2
-15.06	114.42	-9.7439	-70.4229	71	28.9201	27.2
-15.08	114.41	-9.7453	-70.3725	72	28.9147	27.2
-15.11	114.41	-9.7366	-70.9768	71	28.8923	27.1
-15.13	114.4	-10.2856	-75.4589	70	28.8504	27.1
-15.16	114.4	-10.5711	-77.9769	71	28.8028	27
-15.19	114.4	-10.6629	-78.4805	71	28.7627	26.9
-15.21	114.39	-10.8547	-79.7395	72	28.7206	26.8
-15.23	114.39	-10.8531	-80.6963	72	28.6707	26.8
-15.26	114.39	-10.7546	-80.2934	73	28.6367	26.8
-15.29	114.38	-10.6712	-79.538	73	28.6167	26.7
-15.31	114.38	-10.5825	-79.538	73	28.5493	26.7
-15.33	114.37	-10.6596	-79.9913	73	28.5273	26.6
-15.36	114.37	-10.576	-78.6315	73	28.5333	26.6
-15.41	114.36	-10.6761	-79.7898	72	28.5621	26.6
-15.44	114.36	-10.5711	-78.6819	72	28.5831	26.6
-15.46	114.36	-10.492	-78.6819	72	28.5883	26.5
