%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-68.39581667	95.35723333	2131	1985-01-01	-33.72	-267.14	-32.7
-68.406	112.2104	1607	NaN	-26.5	NaN	-26.8
-68.41	112.21	1630	1984-01-01	-30.2	-239.2	-26.8
-68.42	-65.25	200	1990-01-01	-23.7	-182.7	-14.3
-68.42703056	92.86826111	2075	1998-01-12	-32.48	NaN	NaN
-68.47411944	137.1786889	2220	1973-01-01	-32.93	-252.5	-34.3
-68.483	109.663	1884	NaN	-30.44	NaN	-29.7
-68.486	97.187	2322	NaN	-33.32	NaN	-31.9
-68.493	102.176	2119	NaN	-35.13	NaN	-31.3
-68.498	95.948	2259	NaN	-32.22	NaN	-32.6
-68.499	104.684	2300	NaN	-35.44	NaN	-34.9
-68.501	110.851	1784	NaN	-28.45	NaN	-28.9
-68.501	103.42	2256	NaN	-35.91	NaN	-33.9
-68.506	98.438	2050	NaN	-33.18	NaN	-34
-68.511	100.928	2025	NaN	-35.55	NaN	-31.6
-68.523	99.687	1980	NaN	-30.84	NaN	-31.8
-68.547	137.067	2280	1996-01-01	-32.52	-247.48	-36.2
-68.59293056	113.3280333	1627	NaN	-28.68	NaN	-27.2
-68.65	60.25	1830	1992-01-01	-35.86	NaN	NaN
-68.65498611	61.11988333	1832	1990-01-01	-32.43	-255.38	-29.9
-68.69934167	136.8568611	2280	1973-01-01	NaN	-261.3	-36.9
-68.71429722	95.7191	2403	1985-01-01	-36.85	-292.33	-34.6
-68.72	-65.43	1200	1990-01-01	-23.3	-179.9	-15.8
-68.728025	135.3132444	2350	2002-01-01	-33.63	-264.41	-38.5
-68.74232778	136.7941056	2290	1973-01-01	-35.29	-269.7	-37.9
-68.76189444	135.6727611	2344	2002-01-01	-36.41	-287.47	-38.5
-68.76666667	60.93333056	290	NaN	-17.9	NaN	-14.9
-68.778	84.28333333	1800	1998-12-28	-30.56	NaN	-24.5
-68.7833	94.28333333	NaN	NaN	-34.38	-272	NaN
-68.78333333	-65.37	1250	1990-01-01	-23.6	-183	-16
-68.80291667	114.4142833	1727	NaN	-29.71	NaN	-28
-68.8344	88.9341	2048	1998-01-12	-33.94	NaN	NaN
-68.84584722	136.6433167	2305	1973-01-01	NaN	-278.7	-37.6
-68.83333333	94.62	2400	1990-01-01	-32	-248.6	-31
-68.85738611	136.3729361	2349	2002-01-01	-36.21	-286.97	-38.5
-68.91031944	78.84991111	933	1998-12-31	-26.21	NaN	-18.3
-68.91267778	136.7145278	2338	2002-01-01	-35.64	-284.49	-38.5
-68.93823889	61.10863056	1997	1990-01-01	-34.16	-268.96	-30.9
-68.94	136.93	2333	2002-01-01	-38.65	NaN	-38.5
-68.95	-65.43	1350	1990-01-01	-24.5	-189.7	-16.5
-68.9675	60.02888889	2132	1990-01-01	-31.47	-246.63	NaN
-68.97273889	87.29045	2047	1998-01-12	-32.44	NaN	NaN
-68.9826	125.6397972	2204	NaN	-32.5	NaN	-32.8
-68.98723333	126.9377667	2167	NaN	-31.35	NaN	-32.7
-68.993325	128.227375	2135	NaN	-29.81	NaN	-32.5
-69.00023333	115.495675	1828	NaN	-30.65	NaN	-29.4
